# UNIX        Bx     By     Bz     Bt
1769804760    2.9   -1.3   -1.0    3.3
1769805360    2.1   -2.2   -1.6    3.4
1769805960    2.5   -1.4   -1.5    3.2
1769806560    2.9   -1.0   -1.4    3.4
1769807160    3.1   -0.7   -1.3    3.4
1769807760    3.0   -0.6   -1.5    3.4
1769808360    2.8   -1.2   -1.1    3.3
1769808960    2.3   -2.2   -0.7    3.3
1769809560    2.3   -2.1   -1.1    3.3
1769810160    3.2   -0.9    0.1    3.3
1769810760    2.1   -0.7   -2.8    3.5
1769811360    3.3   -0.7   -1.1    3.5
1769811960    3.0   -0.9   -1.5    3.5
1769812560    3.1   -0.9   -1.3    3.5
1769813160    3.0   -1.1   -0.9    3.3
1769813760    2.9   -0.7   -0.8    3.1
1769814360    3.0   -1.1   -0.3    3.2
1769814960    2.9   -1.4   -0.7    3.3
1769815560    2.8   -1.6    0.3    3.2
1769816160   -0.3   -1.1   -3.4    3.6
1769816760    3.1   -0.8   -0.5    3.3
1769817360    2.3   -2.0   -1.5    3.4
1769817960    2.9   -1.2   -1.5    3.4
1769818560    2.8   -1.1   -1.2    3.3
1769819160    3.1   -0.5   -0.8    3.2
1769819760    3.2   -0.4   -0.5    3.3
1769820360    3.2   -0.1   -0.8    3.3
1769820960    2.2   -0.9   -2.2    3.2
1769821560    2.6   -0.7   -1.8    3.2
1769822160    3.1   -0.6   -1.4    3.4
1769822760    2.8   -0.4   -1.5    3.2
1769823360    2.8   -0.8   -1.6    3.3
1769823960    2.5   -1.4   -1.8    3.4
1769824560    2.9   -1.0   -1.3    3.3
1769825160    3.0   -0.7   -1.0    3.3
1769825760    3.2   -0.8    0.5    3.3
1769826360    3.3   -0.8    0.4    3.4
1769826960    3.0   -1.3    0.4    3.3
1769827560    2.7   -0.9   -1.5    3.2
1769828160    2.2   -0.7   -2.3    3.2
1769828760    3.2   -0.7   -0.9    3.4
1769829360    2.6   -0.9   -1.5    3.1
1769829960    3.0   -0.7   -0.8    3.2
1769830560    2.9   -1.0   -0.8    3.1
1769831160    2.9   -1.0   -0.7    3.1
1769831760    2.8   -1.2   -0.8    3.1
1769832360    2.9   -0.9   -0.7    3.1
1769832960    1.7   -2.1   -1.6    3.1
1769833560    2.3   -1.7   -1.3    3.1
1769834160    2.3   -1.0   -2.0    3.2
1769834760    1.6   -0.6   -2.8    3.3
1769835360    1.2   -2.5   -0.8    2.9
1769835960    2.3   -1.2   -1.2    2.9
1769836560    0.4   -3.4   -0.8    3.5
1769837160    1.6   -2.7   -0.6    3.2
1769837760    2.3   -1.8   -1.0    3.1
1769838360    2.9   -0.5   -1.1    3.2
1769838960    3.1    0.5   -0.6    3.3
1769839560    3.0   -0.2   -1.2    3.2
1769840160    3.1   -0.3   -1.0    3.3
1769840760    2.9   -1.0   -0.7    3.2
1769841360    3.2   -1.0   -0.4    3.3
1769841960    2.8   -1.3   -0.1    3.1
1769842560    3.0   -0.1   -1.0    3.1
1769842680    3.0   -0.5   -0.7    3.1
1769842740    3.1   -0.4   -0.8    3.2
1769842800    3.1   -0.5   -0.8    3.2
1769842860    3.0   -0.5   -0.5    3.1
1769842920    3.1   -0.6   -0.5    3.2
1769842980    3.1   -0.8   -0.7    3.2
1769846760    3.0   -1.2   -0.4    3.2
1769847360    3.0   -1.3    0.1    3.3
1769847960    3.2   -1.1    0.2    3.4
1769848560    3.2   -0.9    0.1    3.3
1769849160    3.1   -1.4   -0.2    3.4
1769849760    2.9   -1.6   -0.1    3.3
1769850360    3.2   -1.3    0.2    3.4
1769850960    3.0   -1.4    0.0    3.3
1769851560    3.0   -1.4    0.1    3.4
1769852160    3.1   -1.6    0.1    3.4
1769852760    2.8   -1.6   -0.4    3.3
1769853360    3.1   -0.9   -0.1    3.3
1769853960    3.2   -0.6    0.2    3.3
1769854560    3.2   -0.7    0.1    3.3
1769855160    3.2   -0.8   -0.3    3.3
1769855760    3.1   -1.1   -0.1    3.3
1769856360    3.1   -1.3   -0.0    3.4
1769856960    2.9   -1.7   -0.3    3.4
1769857560    3.0   -1.7   -0.3    3.4
1769858160    3.1   -1.4   -0.1    3.4
1769858760    3.2   -1.3    0.1    3.4
1769859360    3.0   -1.8   -0.5    3.5
1769859960    2.9   -1.8   -0.4    3.4
1769860560    2.8   -1.9   -0.4    3.4
1769861160    2.6   -2.3   -0.7    3.5
1769861760    2.6   -2.3   -0.7    3.5
1769862360    2.7   -2.1   -0.3    3.4
1769862960    2.7   -2.2   -0.6    3.5
1769863560    2.3   -2.5   -1.1    3.6
1769864160    2.6   -2.3   -1.4    3.7
1769864760    2.4   -1.9   -2.0    3.7
1769865360    2.5   -2.4   -0.9    3.6
1769865960    2.7   -2.4   -0.9    3.7
1769866560    2.7   -2.2   -0.6    3.5
1769867160    3.3   -1.2   -0.7    3.6
1769867760    3.4   -1.7   -0.8    3.8
1769868360    3.5   -1.5   -0.7    3.8
1769868960    3.1   -1.9   -0.6    3.6
1769869560    2.9   -1.8   -0.6    3.5
1769870160    3.1   -1.7   -0.6    3.6
1769870760    3.0   -1.7   -0.6    3.5
1769871360    2.4   -2.6   -0.2    3.5
1769871960    2.9   -1.7   -1.2    3.5
1769872560    1.8   -2.9   -0.5    3.4
1769873160    2.7   -1.9   -0.7    3.4
1769873760    2.8   -1.9   -0.7    3.4
1769874360    2.2   -2.1   -0.9    3.2
1769874960    3.0   -1.7   -0.8    3.5
1769875560    2.8   -1.4   -0.6    3.2
1769876160    3.0   -1.6   -0.5    3.4
1769876760    3.3   -1.2   -0.5    3.6
1769877360    3.4   -1.2   -0.5    3.6
1769877960    3.4   -1.2   -0.6    3.7
1769878560    1.9   -2.5   -0.5    3.1
1769879160    2.1   -2.5   -0.4    3.3
1769879760    2.2   -2.5    0.9    3.4
1769880360    2.3   -2.5    0.4    3.4
1769880960    2.3   -2.3   -1.0    3.4
1769881560    1.2   -3.1   -1.7    3.7
1769882160    2.5   -2.5   -0.3    3.5
1769882760    3.0   -1.0   -1.1    3.4
1769883360    3.0   -1.6   -0.8    3.5
1769883960    3.2   -0.9   -0.8    3.4
1769884560    3.5   -0.9   -0.4    3.6
1769885160    3.5   -0.8   -0.6    3.6
1769885760    3.2   -0.7    0.2    3.2
1769886360    3.2   -0.7    0.3    3.3
1769886960    3.3   -0.9    0.3    3.5
1769887560    3.3   -1.5   -0.6    3.7
1769888160    3.4   -1.0   -0.2    3.5
1769888760    3.2   -1.4   -1.0    3.6
1769889360    3.3   -1.1   -0.9    3.6
1769889960    3.4   -0.7   -0.9    3.6
1769890560    1.9   -2.3   -1.2    3.2
1769891160    1.8   -2.8   -1.4    3.6
1769891760    2.3   -2.3   -1.3    3.5
1769892360    2.9   -1.4   -1.1    3.3
1769892960    2.7   -2.2   -1.0    3.6
1769893560    3.1   -1.9   -0.9    3.8
1769893920    2.5   -2.5   -0.8    3.6
