#call,Hz,unix,mode,grid,lat,lng,park,org
AC0VW,14072000,1769893237,CW,EN34SV,44.8977,-92.4862,US-10192,POTA
AE0YM,14055500,1769894024,CW,EN11VH,41.311,-96.1822,US-5656,POTA
AG6AQ,28075000,1769892480,FT8,CM87WF,37.2306,-122.096,US-1136,POTA
AH6WP,28520000,1769893892,SSB,BK19XP,19.6444,-156.011,US-12062,POTA
AI7CS,21340000,1769894099,SSB,DN06CU,46.8336,-119.833,US-12250,POTA
AI7SU,14268000,1769892495,SSB,EM29NS,39.7562,-94.8486,US-4578,POTA
AK6RD,14310000,1769893928,SSB,CM98QK,38.4242,-120.643,US-3446,POTA
CD3BLE,7150000,1769894009,CW,FF45PE,-34.8205,-70.74,CL-0108,POTA
HC2GRC/5,28378000,1769893105,SSB,FI08OG,-1.72755,-78.7565,EC-0022,POTA
HJ3GNC,28405000,1769893976,SSB,FJ24WO,4.60915,-74.1543,CO-0504,POTA
HK3JEC,28405000,1769893930,SSB,FJ24WO,4.60915,-74.1543,CO-0504,POTA
JF1AWC/1,144460000,1769893718,FT8,PM95WF,35.2241,139.871,JP-1969,POTA
JM4RRC/4,3509000,1769893860,CW,PM64KL,34.4591,132.875,JP-1617,POTA
JQ6GYF/P,7041000,1769893808,FT8,PM52FO,32.607,130.47,JP-1730,POTA
K0BUF,18087000,1769891160,CW,EN47gd,47.13916016,-91.46369171,KFF-2488,WWFF
K0BUF,14032000,1769890800,CW,EN47gd,47.13916016,-91.46369171,KFF-2488,WWFF
K0EZE,14210000,1769893351,SSB,DN03KN,43.5609,-119.136,US-10491,POTA
K0ZT,14268000,1769893682,SSB,EN34JV,44.9017,-93.1982,US-12377,POTA
K1ZMA,18155000,1769893888,SSB,CN85AE,45.1933,-123.967,US-2814,POTA
K50LRL,14336000,1769892616,SSB,EN22XJ,42.3895,-94.0805,US-2285,POTA
K5MIG,7075000,1769893746,FT8,EM02XU,32.851,-98.0267,US-3029,POTA
K5OHY,14054000,1769893740,CW,DM81WX,31.9987,-102.091,US-10272,POTA
K6HTD,18139000,1769893736,SSB,CM98EN,38.5632,-121.636,US-11581,POTA
K6KWI,28450000,1769892858,SSB,DM13GV,33.8993,-117.427,US-3412,POTA
K6LCN,21074000,1769893750,FT8,DM03SW,33.9306,-118.436,US-3425,POTA
K6MII,144100000,1769892810,CW,DM04wf,34.24330,-118.09860,W6/CT-019,SOTA
K6MII,146580000,1769890911,FM,DM04wf,34.24330,-118.09860,W6/CT-019,SOTA
K6RND,28420000,1769893634,CW,DM07MS,37.7534,-118.983,US-4456,POTA
K7BWW,14255000,1769893875,SSB,DN25WX,45.9728,-114.14,US-12878,POTA
K7GUD,7061500,1769893565,CW,DN43ph,43.32750,-110.69400,W7Y/TT-167,SOTA
K7GUD,70615000,1769893527,CW,DN43VW,43.9264,-110.243,US-4535,POTA
K7GUD,10115000,1769893506,CW,DN43ph,43.32750,-110.69400,W7Y/TT-167,SOTA
K7GUD,10114900,1769892846,CW,DN43ph,43.32750,-110.69400,W7Y/TT-167,SOTA
K7GUD,14062200,1769892782,CW,DN43ph,43.32750,-110.69400,W7Y/TT-167,SOTA
K7GUD,18092900,1769891702,CW,DN43ph,43.32750,-110.69400,W7Y/TT-167,SOTA
K7PWS,28075000,1769894072,FT8,DN30WG,40.2608,-112.093,US-3064,POTA
K7UOU,10113000,1769893490,CW,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K7UOU,144410000,1769892805,FM,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K7UOU,18155000,1769892644,SSB,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K7UOU,14283000,1769892230,SSB,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K7UOU,7277000,1769891822,SSB,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K7UOU,7059000,1769891109,CW,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
K8IKO,14295000,1769893976,SSB,EN90MS,40.7879,-80.9795,US-9522,POTA
K8WAG,14295000,1769893968,SSB,EN90MS,40.7879,-80.9795,US-9522,POTA
K9JOY,21360000,1769892588,SSB,DM16UK,36.4255,-116.288,US-0464,POTA
KA0CSW,21044300,1769893206,CW,EN25RB,45.0718,-94.5328,US-0362,POTA
KA1UUM,14049000,1769893722,CW,FN43EI,43.3697,-71.6547,US-4938,POTA
KB5RZP,14269000,1769893353,SSB,EN54JI,44.3527,-89.2137,US-4238,POTA
KC0DWZ,14058000,1769893891,CW,EN35LG,45.2618,-93.0318,US-10307,POTA
KC1NDQ,21320000,1769893691,SSB,FN42KB,42.0626,-71.1645,US-2420,POTA
KC1UBT,18149000,1769893962,SSB,FN42NR,42.7133,-70.8411,US-11595,POTA
KC1VXF,14275000,1769892834,SSB,FN43JB,43.0783,-71.1721,US-2672,POTA
KC3UFR,146580000,1769893815,FM,FM19RX,39.9963,-76.5497,US-1418,POTA
KC7EPG,14238000,1769893687,SSB,CN98bf,48.21970,-121.88250,W7W/SN-154,SOTA
KC7EPG,7234000,1769892906,SSB,CN98bf,48.21970,-121.88250,W7W/SN-154,SOTA
KD7QOW,144198000,1769893583,CW,CN95cw,45.93490,-121.82090,W7W/LC-036,SOTA
KD7QOW,146580000,1769893228,FM,CN95cw,45.93490,-121.82090,W7W/LC-036,SOTA
KD7QOW,144200000,1769892279,SSB,CN95cw,45.93490,-121.82090,W7W/LC-036,SOTA
KD7WPJ,14058900,1769893925,CW,DM04mu,34.84250,-118.98180,W6/SC-004,SOTA
KD7WPJ,14061900,1769893866,CW,DM04mu,34.84250,-118.98180,W6/SC-004,SOTA
KD7WPJ,14064900,1769893685,CW,DM04mu,34.84250,-118.98180,W6/SC-004,SOTA
KD7WPJ,21060900,1769892482,CW,DM04mu,34.84250,-118.98180,W6/SC-004,SOTA
KD9RPE,14277000,1769894076,SSB,EN52TN,42.553,-88.3678,US-9834,POTA
KD9VSU,21345000,1769893356,SSB,EN61MD,41.1394,-86.9174,US-4210,POTA
KE0KUL,21350000,1769894046,SSB,EM48KS,38.7824,-91.1116,US-4840,POTA
KE0PWR,146520000,1769893038,FM,DM78aq,38.69450,-105.97000,W0C/SP-084,SOTA
KE0PWR,144200000,1769892767,SSB,DM78aq,38.69450,-105.97000,W0C/SP-084,SOTA
KE2BDV,21306000,1769893899,SSB,FN02WU,42.8597,-78.1396,US-8622,POTA
KE2CVB,28351000,1769892401,SSB,FN30BP,40.6429,-73.875,US-8068,POTA
KE2NJ,7258000,1769893473,SSB,FN30AW,40.953,-73.9207,US-8319,POTA
KE4EST,28435000,1769894089,SSB,EM75WC,35.0995,-84.0928,US-4509,POTA
KE4JDH,14244000,1769893916,SSB,EM73DR,33.7119,-85.7381,US-0158,POTA
KF0LRL,14336000,1769893864,SSB,EN22XJ,42.3895,-94.0805,US-2285,POTA
KF0U,14082000,1769894022,FT4,EM38EL,38.4685,-93.6234,US-1766,POTA
KF0UEE,14074000,1769892964,FT8,DM33WX,33.99,-112.148,US-11975,POTA
KF7NP,28370000,1769893088,SSB,DM34tj,34.41500,-112.40430,W7A/AW-006,SOTA
KG4EXY,14064000,1769892949,CW,FM18FT,38.8028,-77.5493,US-0712,POTA
KG5FLJ,14080000,1769893646,FT4,EM31IR,31.7084,-93.2927,US-4568,POTA
KG5UZW,14228000,1769894103,SSB,DN16LI,46.3693,-117.054,US-2236,POTA
KG6NLW/M0,14340000,1769893503,SSB,CM88QK,38.4246,-122.616,US-1124,POTA
KG7EJT,144200000,1769893928,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,14339000,1769891915,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,14331000,1769891612,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,7190000,1769891001,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7EJT,18155000,1769890859,SSB,CN86ut,46.83300,-122.28130,W7W/RS-068,SOTA
KG7PRD,14325000,1769894084,SSB,DN30PO,40.6139,-112.708,US-5998,POTA
KI5DXY,14075000,1769893183,FT8,EM02XU,32.851,-98.0267,US-3029,POTA
KJ5CTS,14319000,1769893881,SSB,EM29JU,39.864,-95.2295,US-9189,POTA
KJ5XC,14273000,1769893553,SSB,EM58QM,38.5379,-88.5864,US-7371,POTA
KJ7XJ,14063000,1769893700,CW,CN87PC,47.101,-122.728,US-12481,POTA
KK7CSK,21354000,1769893315,SSB,CN87OF,47.2262,-122.806,US-3206,POTA
KL5NE,21318000,1769893818,SSB,BP51FM,61.5117,-149.559,US-9701,POTA
KL7AC,28053000,1769894099,CW,BP64QH,64.3148,-146.646,US-7227,POTA
KL7DUG,28412000,1769893903,SSB,BP51BJ,61.3848,-149.899,US-9698,POTA
KO4FX,14323000,1769894040,SSB,EM76CB,36.0807,-85.8165,US-2944,POTA
